geometry,u,v,key,oneway,length,n_trafficLights,n_giveWaySignal,n_stopSignal,n_pedestrianCrossings,n_cyclingPath,n_cycleParking,n_parkingLeft,n_parkingRight,n_roundaboutNearBy,n_streetLighting_segments,p_pTStop,mean_zonalSpeed,roadType_tertiary,roadType_residential,roadType_primary,roadType_unavailable,roadType_living_street,roadType_pedestrian,roadType_secondary,roadType_primary_link,roadType_service,roadType_secondary_link,roadType_tertiary_link,surfaceType_asphalt,surfaceType_unavailable,surfaceType_sett,surfaceType_paving_stones,surfaceType_paving_stones:20,surfaceType_cobblestone,surfaceType_paving_stones:30,surfaceType_unhewn_cobblestone,surfaceType_paved,numberOfLanes,maxSpeed,accidents_noSeverity,accidents_mild,accidents_severe,accidents_deceased,total_accidents_pedestrian,total_accidents_motorcycle,total_accidents_bicycle,total_accidents,total_accidents_VRU,travelDemand_micro,travelDemand_privateVehicle,n_cornering_right,mean_avg_magnitude_cornering_right,mean_max_magnitude_cornering_right,n_cornering_left,mean_avg_magnitude_cornering_left,mean_max_magnitude_cornering_left,n_brake,mean_avg_magnitude_brake,mean_max_magnitude_brake,n_speedup,mean_avg_magnitude_speedup,mean_max_magnitude_speedup
"LINESTRING (-3.6934816 40.41514289999999, -3.6932627089040393 40.415194536276054, -3.6932191999999993 40.41520479999999, -3.6923641167085313 40.415214046014526, -3.691714685979491 40.41522106830818, -3.6914898000000003 40.41522349999999)",4878,4812,0,True,222.178347548076,2,1,0,2,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,50.0,3,1,0,0,1,1,0,4,2,239.55560936624207,46441,330,555,1208,1249,2296,2855,133,2341,2137,0,364,81
"LINESTRING (-3.688847363863208 40.412847380141315, -3.6889032 40.41285469999999, -3.6890536 40.4128187, -3.689067584051195 40.412818375235425, -3.689967133280781 40.41279748417009, -3.6901081268268876 40.41279420974632, -3.6902204999999992 40.41279159999999, -3.6903271000000006 40.4127555)",13,4829,0,True,165.67755073349622,0,0,0,2,0,0,2,2,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,30.0,0,0,0,0,0,0,0,0,0,30.13395930989211,32484,1212,87,2376,1918,1042,2568,294,1141,3107,4,564,532
"LINESTRING (-3.6903271000000006 40.4127555, -3.6901743 40.4127266, -3.6901048947647532 40.41272786882307, -3.689205301637392 40.412744314621655, -3.689042 40.41274729999999, -3.6890322179112838 40.41274921056419, -3.6889012 40.4127748, -3.688847363863208 40.412847380141315)",4829,13,0,True,169.2518550326725,0,0,0,2,0,0,1,1,0,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,50.0,0,0,0,0,0,0,0,0,0,78.21277750050656,31400,1349,1923,1336,704,2512,1193,1030,875,913,5,699,474
"LINESTRING (-3.6903271000000006 40.4127555, -3.6905519411352627 40.41275136320162, -3.6914249999999997 40.412735299999994, -3.691429404493002 40.412761504258924, -3.6914428000000004 40.412841199999995, -3.6914518121485913 40.413173455835825, -3.6914578999999996 40.4133979)",4829,4830,0,True,195.92367959960455,0,0,0,4,0,1,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,30.0,1,2,0,0,0,0,1,3,1,364.793853571816,43760,1145,466,1245,1044,1515,2168,1235,3400,3463,5,226,661
"LINESTRING (-3.6903511 40.4134182, -3.6903429592000005 40.41319341216, -3.6903352408 40.41298028784, -3.6903271000000006 40.4127555)",4817,4829,0,True,73.70015201176282,0,0,0,2,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,20.0,0,0,0,0,0,0,0,0,0,163.97577957511857,35977,410,1399,2312,2015,2595,2136,331,237,3966,2,421,116
"LINESTRING (-3.6887985999999993 40.4094693, -3.6889487738241553 40.40930187421881, -3.6895495896617305 40.40863203670543, -3.6899880677829433 40.40814318625239, -3.6900103 40.4081184, -3.6901793000000005 40.4080281)",17,18,0,True,222.99111977629752,0,1,0,2,0,0,0,0,0,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,50.0,0,0,0,0,0,0,0,0,0,102.04964812100334,16914,248,1564,939,175,7,278,254,1108,411,4,423,368
"LINESTRING (-3.6901793000000005 40.4080281, -3.690371809630696 40.40814445234376, -3.691141845626793 40.40860986019167, -3.6913253999999993 40.40872079999998, -3.6914978979556676 40.4088094257813, -3.6916973499999948 40.40891190000015)",18,20,0,True,195.3778850872402,1,0,0,3,0,0,0,0,0,2,2,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,50.0,6,17,0,0,1,10,3,5,5,678.6538192067892,19474,575,1023,2347,1644,1186,811,471,1261,4118,2,63,166
"LINESTRING (-3.6890669999999997 40.40733765000358, -3.68925809314 40.407456269312966, -3.6899884293200005 40.407909618780614, -3.6901793000000005 40.4080281)",21,18,0,True,145.5314252946275,1,0,0,2,0,1,0,0,0,3,1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,50.0,0,0,0,0,0,0,0,0,0,678.6538192067892,19157,679,540,2597,1262,1540,2871,611,3089,1486,5,280,689
"LINESTRING (-3.6916973499999948 40.40891190000015, -3.691751208849996 40.40898398624009, -3.6918150999999995 40.4090695)",20,4877,0,True,21.87085734705664,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,50.0,0,0,0,0,0,0,0,0,0,899.803645991668,27718,511,396,1639,750,2478,1603,1340,950,3237,1,168,0
"LINESTRING (-3.6916973499999948 40.40891190000015, -3.6918244 40.40898709999999, -3.691899767419929 40.40900419628804, -3.6919712000000002 40.4090204, -3.6920480999999996 40.4090216, -3.692117500408741 40.40900819628713, -3.6921967 40.408992899999994, -3.6923226 40.40892639999999)",20,4866,0,True,74.54052406151122,2,0,0,1,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,50.0,5,0,0,0,0,0,0,5,0,278.8926236262104,6334,872,1695,2884,1355,559,2720,815,2766,2939,3,351,835
"LINESTRING (-3.691936450000001 40.40837365000028, -3.6917609 40.4084338, -3.6917286189711143 40.408456369129595, -3.6917024 40.40847469999999, -3.6916195 40.40857720000001, -3.6915905999999996 40.408695599999994, -3.691593724191368 40.4087213638795, -3.6915979000000005 40.4087558, -3.6916195 40.408814, -3.6916973499999948 40.40891190000015)",4873,20,0,True,84.6407597389126,2,0,0,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,50.0,0,0,0,0,0,0,0,0,0,692.0971226800377,783,2,1870,1242,81,1740,1293,614,1243,2237,0,164,388
"LINESTRING (-3.6918150999999995 40.4090695, -3.692013536637955 40.40917543151648, -3.6921701738615074 40.40925904923344, -3.6921772000000006 40.4092628, -3.6923284 40.409288999999994, -3.692313949999998 40.40922785002776)",4877,4811,0,True,69.73410307193804,2,0,0,2,0,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,50.0,9,9,0,0,0,7,1,5,5,246.04419098269724,24030,15,771,2904,729,928,2859,1307,3309,3933,0,355,66
"LINESTRING (-3.6918150999999995 40.4090695, -3.6919416450353966 40.409255317037804, -3.6920902999999994 40.4094736, -3.6922279999999996 40.409792799999984, -3.692307502989172 40.41006941018155, -3.6923652999999996 40.4102705, -3.6925258630751365 40.41094247883891, -3.6926883 40.41162229999999, -3.692727805495028 40.411818950678125, -3.6929050913643953 40.41270144528834, -3.6929271 40.412811, -3.6931093471475904 40.413577424027885, -3.6933174448745034 40.41445256034779, -3.6934295917201396 40.414924183845244, -3.6934816 40.41514289999999)",4877,4878,0,True,703.855338536741,6,0,0,6,0,1,0,0,0,1,2,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,50.0,19,26,0,0,2,18,10,5,5,4211.345373956728,28318,324,1994,2703,122,2189,1855,325,1799,3908,2,659,671
"LINESTRING (-3.6923226 40.40892639999999, -3.6923903 40.4088646, -3.692407749885549 40.40883507559593, -3.6924337999999994 40.408790999999994, -3.6924524000000005 40.4087115)",4866,4872,0,True,28.763450546565885,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,50.0,0,0,0,0,0,0,0,0,0,1129.2275987351736,36598,1167,1197,920,326,575,319,1382,1472,278,4,724,515
"LINESTRING (-3.692313949999998 40.40922785002776, -3.6922835125759605 40.40907794678801, -3.6922793 40.4090572, -3.6923226 40.40892639999999)",4811,4866,0,True,34.700587803696735,2,0,0,2,0,0,0,0,0,2,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,50.0,0,0,0,0,0,0,0,0,0,861.6818371053935,26028,31,704,3046,735,1209,1549,732,519,4066,0,588,122
"LINESTRING (-3.6890669999999997 40.40733765000358, -3.6892796792020985 40.4074114465758, -3.6893954 40.4074516, -3.6900659487886665 40.407845219636116, -3.6908415166215884 40.408300486625386, -3.6912647 40.40854889999999, -3.691575199999999 40.4086743, -3.6916467674433786 40.40869484587066, -3.6917525 40.4087252, -3.6919492 40.40874869999999, -3.6921653 40.4087294, -3.6923477000000005 40.408682400000004, -3.6925180473776966 40.40860620628474, -3.692535499999999 40.4085984, -3.6926889 40.4084934, -3.6928654000000005 40.4083046, -3.693130551919857 40.40795867759256, -3.6931533 40.407928999999996, -3.6934447000000006 40.40766939999999, -3.6936968 40.407528099999986, -3.6938704300689227 40.40746911410617, -3.694135099999999 40.407379199999994, -3.6945718 40.4072571, -3.694733302452622 40.407217258284874, -3.6955427416809004 40.40701757433812, -3.6957591000000005 40.4069642)",21,4870,0,True,842.6731713286471,3,0,0,5,0,1,0,0,0,5,6,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,50.0,26,45,3,0,5,33,8,5,5,74.62813154458556,45174,113,1114,3217,526,1026,533,810,289,2362,2,51,834
"LINESTRING (-3.6957591000000005 40.4069642, -3.695975088859922 40.40690132158218, -3.696024799052482 40.40688685001055, -3.6961926000000003 40.40683799999999, -3.6961710999999995 40.4067926500153)",4870,4881,0,True,55.75670791923152,3,0,0,1,0,1,1,1,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,50.0,0,1,0,0,1,0,0,1,1,422.8300875122635,28021,1254,1135,2129,1870,2149,2349,59,1392,885,2,616,487
"LINESTRING (-3.6954468 40.40708729999999, -3.6955974847500004 40.40702790424999, -3.6957591000000005 40.4069642)",4868,4870,0,True,37.3077748025961,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,30.0,0,0,0,0,0,0,0,0,0,627.1823939497702,30851,668,1724,2594,428,455,2928,1187,811,4109,0,132,583
"LINESTRING (-3.7061184858339313 40.42037038273591, -3.7061012 40.420321, -3.7062094 40.4202281, -3.706237870684896 40.42021892252897, -3.7063065 40.4201968, -3.7071339744704876 40.420215395435385, -3.7080086975249014 40.42023505266545, -3.7081532 40.4202383, -3.7082219452523444 40.42027894197157)",89,90,0,False,247.23527306779812,1,0,0,2,0,2,0,0,0,3,5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,30.0,7,6,0,0,4,4,1,5,5,905.0184017809178,12485,948,1552,681,1942,1557,3409,948,630,3622,4,292,409
